Symbol,Company Name,Sector Index
HDFCBANK,HDFC Bank Ltd.,NIFTY FINANCIAL SERVICES
HEROMOTOCO,Hero MotoCorp Limited,NIFTY AUTO
HFCL,HFCL LIMITED,NIFTY TELECOM
HSCL,Himadri Speciality Chemical Ltd.,NIFTY CHEMICALS
HCC,Hindustan Construction Co. Ltd.,
HINDOILEXP,Hindustan Oil Exploration Co. Ltd.,NIFTY ENERGY
AGI,AGI GREENPAC LIMITED,
HINDZINC,Hindustan Zinc Ltd.,NIFTY METAL
NDLVENTURE,NDL Ventures Limited,NIFTY FINANCIAL SERVICES
HMT,HMT Limited,
PRAGBOS,Prag Bosimi Synthetics Ltd.,
HLVLTD,HLV LIMITED,NIFTY SERVICES
IGPL,IG Petrochemicals Ltd,NIFTY CHEMICALS
INDIAGLYCO,India Glycols Ltd,NIFTY FMCG
INDLEASE,India Lease Devl. Ltd.,NIFTY FINANCIAL SERVICES
MARGOFIN,Margo Finance Limited,NIFTY FINANCIAL SERVICES
INDORAMA,Indo Rama Synthetics (India) Ltd.,
INFY,Infosys Ltd,NIFTY IT
INGERRAND,Ingersoll-Rand (India) Ltd.,
ITHL,International Travel House Ltd,NIFTY SERVICES
IONEXCHANG,Ion Exchange (India) Ltd,
SUNDROP,SUNDROP BRANDS LIMITED,NIFTY FMCG
JISLJALEQS,Jain Irrigation Systems Ltd.,
JASCH,Jasch Industries Ltd.,
JINDALPOLY,Jindal Poly Films Ltd.,
JSWSTEEL,JSW Steel Limited,NIFTY METAL
KAJARIACER,Kajaria Ceramics Ltd,NIFTY CONSUMER DURABLES
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.,NIFTY CONST MAT
KSL,Kalyani Steels Ltd,
WHIRLPOOL,Whirlpool of India Ltd,NIFTY CONSUMER DURABLES
KGDENIM,K.G.Denim Ltd,
KINETICENG,Kinetic Engineering Ltd.,NIFTY AUTO
KIRLOSBROS,Kirloskar Brothers Ltd.,
KIRLOSIND,Kirloskar Industries Ltd,
KIRLFER,Kirloskar Ferrous Industries Ltd.,NIFTY METAL
ENVAIREL,Envair Electrodyne Ltd.,
KOTAKBANK,Kotak Mahindra Bank Ltd.,NIFTY FINANCIAL SERVICES
KSB,KSB LIMITED,
LGBBROSLTD,L.g.Balkrishnan & Bros. Ltd.,NIFTY AUTO
TRENT,Trent Ltd [Lakme Ltd],NIFTY SERVICES
LMW,LMW Limited,
LICHSGFIN,Lic Housing Finance Ltd.,NIFTY FINANCIAL SERVICES
LUPIN,Lupin Ltd,NIFTY PHARMA
LYKALABS,Lyka Labs Ltd.,NIFTY PHARMA
RAMCOCEM,The Ramco Cements Limited,NIFTY CONST MAT
HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMITED,NIFTY FINANCIAL SERVICES
MAFATIND,Mafatlal Industries Ltd.,
MAHSEAMLES,Maharashtra Seamless Ltd.,
MAHSCOOTER,Maharashtra Scooters Ltd.,NIFTY FINANCIAL SERVICES
MAJESAUT,Majestic Auto Ltd.,NIFTY SERVICES
MANALIPETC,Manali Petrochemicals Ltd.,NIFTY CHEMICALS
BARODARY,Baroda Rayon Corpn. Ltd.,NIFTY REALTY
