code,name,security_id,industry,sector_index
MID150BEES,MID150BEES,,Nifty Midcap 150 TRI,
BANKNIFTY1,BANKNIFTY1,,Nifty Bank,
SETFNIFBK,SETFNIFBK,,Nifty Bank,
PSUBANK,PSUBANK,,Nifty PSU Bank,
MIDCAP,MIDCAP,,Nifty Midcap 50 Index,
MOM30IETF,MOM30IETF,,ICICI Prudential Nifty 200 Momentum 30 ETF,
EBBETF0433,EBBETF0433,,BHARAT Bond ETF-April 2033,
HEALTHY,HEALTHY,,Nifty Healthcare TRI,
HDFCQUAL,HDFCQUAL,,HDFC NIFTY100 Quality 30 ETF,
HDFCMOMENT,HDFCMOMENT,,HDFC NIFTY200 Momentum 30 ETF,
MSCIINDIA,MSCIINDIA,,MSCI India Index,
BSE500IETF,BSE500IETF,,S&P BSE 500 index,
ALPHAETF,ALPHAETF,,Mirae Asset Nifty 200 Alpha 30 ETF,
SETF10GILT,SETF10GILT,,Nifty 10 yr Benchmark G-Sec Index,
BANKETFADD,BANKETFADD,,DSP Nifty Bank ETF,
MONIFTY500,MONIFTY500,,Motilal Oswal Nifty 500 ETF,
HEALTHIETF,HEALTHIETF,,Nifty Healthcare Index,
DIVOPPBEES,DIVOPPBEES,,Nifty Dividend Opportunities 50 TRI,
SHARIABEES,SHARIABEES,,Shariah,
SENSEXADD,SENSEXADD,,DSP S&P BSE Sensex ETF,
GROWWNET,GROWWNET,,Index,
FINIETF,FINIETF,,ICICI Prudential Nifty Financial Services Ex-Bank ETF,
METAL,METAL,,Nifty Metal Total Return Index,
BANKBETF,BANKBETF,,Bajaj Finserv Nifty Bank ETF,
SETFNN50,SETFNN50,,Nifty Next 50,
HDFCNIFBAN,HDFCNIFBAN,,Nifty Bank,
UTISXN50,UTISXN50,,BSE Sensex Next 50,
AXISVALUE,AXISVALUE,,Nifty500 Value 50 TRI,
VAL30IETF,VAL30IETF,,Nifty200 Value 30 Index,
MOMOMENTUM,MOMOMENTUM,,Nifty 200 Momentum 30 Total Return Index,
BANKBEES,BANKBEES,,Nifty Bank,
MOCAPITAL,MOCAPITAL,,Nifty Capital Market Total Return Index,
ESG,ESG,,NIFTY100 ESG SECTOR LEADERS,
HDFCSML250,HDFCSML250,,HDFC NIFTY Smallcap 250 ETF,
OILIETF,OILIETF,,Nifty Oil & Gas Index,
HDFCVALUE,HDFCVALUE,,HDFC NIFTY50 Value 20 ETF,
HDFCMID150,HDFCMID150,,HDFC NIFTY Midcap 150 ETF,
EBBETF0431,EBBETF0431,,Nifty BHARAT Bond,
EBBETF0430,EBBETF0430,,Nifty BHARAT Bond,
GROWWMOM50,GROWWMOM50,,Nifty 500 Momentum 50 Index- Total Return Index,
ABGSEC,ABGSEC,,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,
ABSLBANETF,ABSLBANETF,,Nifty Bank,
SBINEQWETF,SBINEQWETF,,Nifty50 Equal Weight,
UTIBANKETF,UTIBANKETF,,Nifty Bank,
HEALTHADD,HEALTHADD,,DSP Nifty Healthcare ETF,
SMALLCAP,SMALLCAP,,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,
NV20IETF,NV20IETF,,Nifty50 Value 20,
INTERNET,INTERNET,,Equity Index,
MOMENTUM,MOMENTUM,,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,
MOSMALL250,MOSMALL250,,Motilal Oswal Nifty Smallcap 250 ETF,
GROWWLOVOL,GROWWLOVOL,,Nifty 500 Low Volatility 50 Index TRI,
EVINDIA,EVINDIA,,Nifty EV and New Age Automotive Total Return Index,
PVTBANKADD,PVTBANKADD,,DSP Nifty Private Bank ETF,
GROWWRAIL,GROWWRAIL,,Nifty India Railways PSU Index,
BBNPNBETF,BBNPNBETF,,Baroda BNP Paribas NIFTY Bank ETF,
SDL26BEES,SDL26BEES,,Nifty SDL Apr 2026 Top 20 Equal Weight Index,
GROWWEV,GROWWEV,,Nifty EV and New Age Automotive Index,
PSUBNKIETF,PSUBNKIETF,,ICICI Prudential Nifty PSU Bank ETF,
HDFCPSUBK,HDFCPSUBK,,HDFC NIFTY PSU BANK ETF,
EQUAL50ADD,EQUAL50ADD,,NIFTY 50 Equal Weight Index,
MOTOUR,MOTOUR,,Nifty India Tourism Total Return Index,
AUTOBEES,AUTOBEES,,Nifty Auto TRI,
EBANKNIFTY,EBANKNIFTY,,Edelweiss Nifty Bank ETF,
SBIBPB,SBIBPB,,BSE PSU Bank Index TRI,
BANKPSU,BANKPSU,,Nifty PSU Bank Total Return Index,
MOVALUE,MOVALUE,,Motilal Oswal S&P BSE Enhanced Value ETF,
AUTOIETF,AUTOIETF,,Nifty Auto Index,
PSUBNKBEES,PSUBNKBEES,,Nifty PSU Bank,
HDFCBSE500,HDFCBSE500,,HDFC S&P BSE 500 ETF,
EVIETF,EVIETF,,Nifty EV & New Age Automotive ETF,
MON100,MON100,,Nasdaq100,
PSUBANKADD,PSUBANKADD,,DSP Nifty PSU Bank ETF,
MOREALTY,MOREALTY,,Motilal Oswal Nifty Realty ETF,
MAHKTECH,MAHKTECH,,Hang Seng TECH Total Return Index,
HNGSNGBEES,HNGSNGBEES,,Hang Seng Index,
